sa2_code,sa2_name,earners,median_age,median_income,mean_income
115011554,Castle Hill - East,3274,51,51414,77900
115011555,Castle Hill - North,7773,47,57065,83196
115011556,Castle Hill - South,6556,44,58263,80350
115011557,Castle Hill - West,3491,45,63091,83423
115011558,Cherrybrook,12485,47,57162,76574
115011559,Kellyville,16809,43,62227,78436
115021297,Dural - Kenthurst - Wisemans Ferry,14383,48,55769,91155
115021298,Galston - Laughtondale,3392,49,53808,80597
115031299,Bilpin - Colo - St Albans,1602,48,47184,59035
115031300,Kurrajong Heights - Ebenezer,13956,45,56404,67736
115041301,Pitt Town - McGraths Hill,6959,44,58104,73212
115041302,Rouse Hill - Beaumont Hills,23004,40,66086,79004
116011303,Blacktown (East) - Kings Park,10173,36,49879,55946
116011304,Blacktown (North) - Marayong,11180,37,51582,56806
116011306,Doonside - Woodcroft,13438,39,54832,59354
116011307,Lalor Park - Kings Langley,14349,41,55922,63853
116011308,Seven Hills - Toongabbie,15451,39,54207,60645
116011560,Blacktown (South),7171,39,51277,56015
116011561,Blacktown (West),9591,37,51354,55129
116021309,Glenwood,10015,42,61259,71168
116021310,Parklea - Kellyville Ridge,18898,41,68355,77965
116021312,Riverstone - Marsden Park,28452,36,64805,72101
116021562,Acacia Gardens,2346,40,63303,69098
116021563,Quakers Hill,14643,39,59266,65712
116031313,Bidwill - Hebersham - Emerton,7885,37,48935,50152
116031314,Glendenning - Dean Park,4787,38,56022,59186
116031315,Hassall Grove - Plumpton,12366,39,56165,59160
116031316,Lethbridge Park - Tregear,9531,36,52864,56134
116031317,Mount Druitt - Whalan,10727,37,48720,51554
116031318,Prospect Reservoir,48,46,80847,170290
116031319,Rooty Hill - Minchinbury,12647,39,55162,59226
117011320,Banksmeadow,218,33,68584,76537
117011321,Botany,7856,40,66933,77691
117011322,Mascot - Eastlakes,18968,34,50100,61059
117011323,Pagewood - Hillsdale - Daceyville,7973,39,53892,66895
117011324,Port Botany Industrial,13,44,88064,83589
117011325,Sydney Airport,5,39,70782,66565
117021326,Marrickville,16651,38,62871,77014
117021327,Petersham - Stanmore,13537,38,67860,86974
117021328,Sydenham - Tempe - St Peters,5513,38,66891,77755
117031329,Darlinghurst,8488,36,71676,107194
117031330,Erskineville - Alexandria,13485,36,83036,96780
117031331,Glebe - Forest Lodge,13301,37,67002,94825
117031332,Newtown - Camperdown - Darlington,15771,35,67450,84682
117031333,Potts Point - Woolloomooloo,14153,37,73659,112300
117031334,Pyrmont - Ultimo,14661,35,48245,77778
117031335,Redfern - Chippendale,13797,33,59454,83140
117031336,Surry Hills,12409,35,67312,95470
117031337,Sydney - Haymarket - The Rocks,26854,32,29823,76387
117031338,Waterloo - Beaconsfield,24986,33,62344,75621
118011339,Bondi - Tamarama - Bronte,14009,37,69585,122435
118011340,Bondi Beach - North Bondi,15740,35,68116,108687
118011341,Bondi Junction - Waverly,12994,38,64030,101345
118011342,Centennial Park,np,np,np,np
118011343,Double Bay - Bellevue Hill,17938,45,80849,176577
118011344,Dover Heights,7547,44,70842,123513
118011345,Paddington - Moore Park,11064,40,80692,142885
118011346,Rose Bay - Vaucluse - Watsons Bay,8362,49,79006,187485
118011347,Woollahra,5327,45,79723,171183
118021348,Coogee - Clovelly,17969,39,75138,111715
118021350,Malabar - La Perouse - Chifley,13865,44,60314,80401
118021564,Kensington (NSW),7361,37,57807,82246
118021565,Kingsford,8053,39,50113,72072
118021566,Maroubra - North,6621,44,63227,98993
118021567,Maroubra - South,6837,40,59972,80328
118021568,Maroubra - West,6778,40,55170,88370
118021569,Randwick - North,11439,39,72651,104118
118021570,Randwick - South,8652,38,66128,91757
119011354,Bass Hill - Georges Hall,10398,41,44857,53503
119011355,Chullora,788,37,53138,59133
119011356,Condell Park,5998,39,45552,55816
119011357,Greenacre - Mount Lewis,12218,39,42671,53763
119011358,Padstow,10136,43,52837,61522
119011359,Panania - Milperra - Picnic Point,15748,42,56553,67007
119011360,Revesby,9731,41,52768,61157
119011361,Yagoona - Birrong,10400,39,44692,52107
119011571,Bankstown - North,8435,37,41091,48833
119011572,Bankstown - South,8573,36,40774,47420
119021362,Belmore - Belfield,10898,40,46586,55919
119021363,Canterbury (South) - Campsie,19195,36,41253,49665
119021364,Kingsgrove (North) - Earlwood,14230,45,56828,72803
119021366,Punchbowl,10295,37,39003,47372
119021367,Roselands,7757,42,48285,58036
119021573,Lakemba,8123,36,34626,43649
119021574,Wiley Park,5035,35,36274,44220
119031368,Hurstville,16095,34,38341,48948
119031369,Mortdale - Penshurst,15736,40,52287,66800
119031370,Narwee - Beverly Hills,8125,41,47572,57402
119031371,Oatley - Hurstville Grove,8429,46,56108,78379
119031372,Peakhurst - Lugarno,11711,45,55331,70043
119031373,Riverwood,6415,38,42320,49678
119031374,South Hurstville - Blakehurst,16645,39,45642,66237
119041375,Arncliffe - Bardwell Valley,16911,33,49408,60461
119041376,Bexley,15748,39,48891,59845
119041377,Kingsgrove (South) - Bardwell Park,7877,44,52130,66981
119041378,Kogarah,8216,36,50965,60553
119041379,Kogarah Bay - Carlton - Allawah,10363,39,49958,62342
119041380,Monterey - Brighton-le-Sands - Kyeemagh,8452,44,55590,68745
119041381,Rockdale - Banksia,13609,34,44651,54038
119041382,Sans Souci - Ramsgate,10029,47,57524,73904
120011383,Concord - Mortlake - Cabarita,14686,46,62464,88933
120011384,Concord West - North Strathfield,15742,36,55093,70966
120011385,Drummoyne - Rodd Point,12031,45,71862,104679
120011386,Five Dock - Abbotsford,13024,45,67196,91678
120021387,Balmain,11082,46,84954,138686
120021388,Leichhardt - Annandale,17579,41,77376,102024
120021389,Lilyfield - Rozelle,9132,43,83265,114665
120031390,Ashfield,16253,36,50207,63539
120031391,Burwood - Croydon,16178,36,40074,58137
120031392,Canterbury (North) - Ashbury,7590,40,56178,71514
120031393,Croydon Park - Enfield,10265,43,54704,67339
120031394,Dulwich Hill - Lewisham,11600,39,68495,82931
120031395,Haberfield - Summer Hill,8936,42,69043,97855
120031396,Homebush,14272,32,46561,56597
120031575,Strathfield,18951,33,43978,71534
120031576,Strathfield South,2244,41,53700,68011
121011398,Chatswood (East) - Artarmon,19473,40,54754,84821
121011399,Chatswood (West) - Lane Cove North,14326,40,65363,89224
121011400,Lane Cove - Greenwich,19749,43,75539,121899
121011401,St Leonards - Naremburn,8404,38,83498,109243
121011402,Willoughby - Castle Cove - Northbridge,17236,48,73286,140016
121021403,Asquith - Mount Colah,13637,44,60781,73826
121021404,Berowra - Brooklyn - Cowan,7514,47,58721,73524
121021406,Normanhurst - Thornleigh - Westleigh,11935,46,60588,79771
121021577,Hornsby - East,8120,38,53611,63441
121021578,Hornsby - West,6715,44,55887,70774
121021579,Waitara - Wahroonga (West),7174,40,61189,75019
121031407,Gordon - Killara,15116,46,58867,105459
121031408,Lindfield - Roseville,16469,47,65475,121901
121031409,Pymble,11437,47,65803,111004
121031410,St Ives,13975,49,59761,97561
121031411,Turramurra,13165,49,61300,103354
121031412,Wahroonga (East) - Warrawee,12172,48,65000,115362
121041413,Cremorne - Cammeray,13626,44,79654,124513
121041414,Crows Nest - Waverton,13403,40,79894,106111
121041415,Mosman,20422,48,78073,171980
121041416,Neutral Bay - Kirribilli,12767,41,78822,119226
121041417,North Sydney - Lavender Bay,9612,40,82003,121959
122011418,Balgowlah - Clontarf - Seaforth,13800,47,69657,129330
122011419,Manly - Fairlight,17123,40,74002,123137
122021420,Avalon - Palm Beach,9131,51,54810,103089
122021421,Bayview - Elanora Heights,7339,51,56934,96539
122021422,Newport - Bilgola,9600,49,59932,90148
122021423,Warriewood - Mona Vale,16646,47,57474,79185
122031424,Beacon Hill - Narraweena,8900,45,54926,74260
122031425,Cromer,5101,46,55299,75729
122031426,Dee Why - North Curl Curl,19055,39,57307,77355
122031427,Forestville - Killarney Heights,8094,48,59273,91244
122031428,Frenchs Forest - Belrose,16530,47,58572,85100
122031429,Freshwater - Brookvale,15310,41,67756,101588
122031430,Manly Vale - Allambie Heights,11118,44,62593,92442
122031431,Narrabeen - Collaroy,16869,45,59077,85286
122031432,Terrey Hills - Duffys Forest,2503,49,59633,97814
123011433,Camden - Ellis Lane,7566,44,59327,72005
123011434,Elderslie - Harrington Park,14579,41,61669,73943
123011435,Mount Annan - Currans Hill,19800,39,61906,68027
123021436,Bradbury - Wedderburn,9805,38,53106,57249
123021437,Campbelltown - Woodbine,11362,38,52550,58436
123021438,Claymore - Eagle Vale - Raby,11148,39,55330,59950
123021439,Holsworthy Military Area,np,np,np,np
123021440,Ingleburn - Denham Court,16071,38,56080,63427
123021441,Leumeah - Minto Heights,9012,41,52840,56849
123021442,Macquarie Fields - Glenfield,12877,39,52219,57090
123021443,Minto - St Andrews,11421,39,51915,56081
123021444,Rosemeadow - Glen Alpine,11130,41,53430,59899
123031445,Bargo,3366,43,54354,62209
123031446,Douglas Park - Appin,6258,42,61453,72999
123031447,Picton - Tahmoor - Buxton,10248,42,55890,64822
123031448,The Oaks - Oakdale,5725,44,56079,69274
124011449,Blackheath - Megalong Valley,3281,51,42326,54925
124011450,Blaxland - Warrimoo - Lapstone,11752,46,61436,73774
124011451,Blue Mountains - North,11,57,19249,14975
124011452,Katoomba - Leura,7532,49,42797,55865
124011453,Lawson - Hazelbrook - Linden,6660,47,53579,61669
124011454,Springwood - Winmalee,13146,46,58170,68209
124011455,Wentworth Falls,3601,52,46276,62840
124021456,Blue Mountains - South,np,np,np,np
124031457,Cambridge Park,8890,39,56701,60727
124031458,Castlereagh - Cranebrook,16922,37,60835,67781
124031459,Emu Plains - Leonay,8236,43,61474,71784
124031460,Glenmore Park - Regentville,12922,41,62939,71271
124031461,Jamisontown - South Penrith,9775,40,56918,62378
124031462,Kingswood - Werrington,12427,37,55904,61451
124031463,Mulgoa - Luddenham - Orchard Hills,7116,41,63094,78939
124031464,Penrith,8902,36,54266,60492
124031465,Warragamba - Silverdale,3508,42,60645,67171
124041466,Richmond - Clarendon,8099,42,53506,60812
124041467,Windsor - Bligh Park,8692,40,55945,62380
124041468,Yarramundi - Londonderry,3944,43,53387,64817
124051469,Erskine Park,4177,41,59719,65907
124051470,St Clair,11791,41,57491,61482
124051580,Colyton - Oxley Park,6513,38,53850,56832
124051581,St Marys - North St Marys,8600,38,52958,55124
125011473,Homebush Bay - Silverwater,15862,35,57036,67693
125011475,Rookwood Cemetery,np,np,np,np
125011582,Auburn - Central,10796,31,32372,41004
125011583,Auburn - North,7200,30,31945,38829
125011584,Auburn - South,4218,38,38541,47481
125011585,Berala,4848,38,39969,48134
125011586,Lidcombe,13763,35,38409,50392
125011587,Regents Park,2709,39,43053,50170
125021476,Carlingford,18434,44,48684,64469
125021477,Ermington - Rydalmere,13760,40,53677,64602
125021478,Oatlands - Dundas Valley,10633,43,50405,69762
125031479,Chester Hill - Sefton,9215,39,41993,49158
125031480,Fairfield - East,6610,38,43240,47763
125031481,Granville - Clyde,13349,33,38112,46525
125031482,Greystanes - Pemulwuy,15004,42,57032,65641
125031483,Guildford - South Granville,9042,36,39634,47689
125031484,Guildford West - Merrylands West,10703,37,46102,53082
125031485,Merrylands - Holroyd,16132,36,45243,53642
125031486,Smithfield Industrial,59,49,71174,89658
125031487,Yennora Industrial,17,49,50690,59259
125041489,North Parramatta,14148,37,58174,65983
125041490,North Rocks,5259,45,55862,71828
125041491,Northmead,12588,37,60360,69484
125041492,Parramatta - Rosehill,22170,33,50948,60361
125041493,Toongabbie - Constitution Hill,13397,40,54659,62850
125041494,Winston Hills,6669,44,60097,71914
125041588,Pendle Hill - Girraween,7750,39,55182,63650
125041589,Wentworthville - Westmead,12391,36,57013,66350
126011495,Epping - North Epping,21246,41,54480,72710
126011496,Pennant Hills - Cheltenham,14133,47,61019,87869
126021497,Eastwood - Denistone,16604,42,47395,69317
126021498,Gladesville - Huntleys Point,9733,43,69328,100483
126021499,Hunters Hill - Woolwich,6213,49,76214,155266
126021500,Macquarie Park - Marsfield,14169,37,52238,64332
126021501,North Ryde - East Ryde,10092,40,60755,79224
126021503,West Ryde - Meadowbank,13326,38,56957,68271
126021590,Putney,2881,47,64021,99461
126021591,Ryde,19787,38,56169,70666
127011504,Ashcroft - Busby - Miller,6488,37,44082,46707
127011505,Austral - Greendale,5596,41,51121,63493
127011506,Cobbitty - Leppington,22914,36,61713,68869
127011592,Badgerys Creek,10,31,56655,53093
127011593,Cecil Hills,4015,44,54997,65384
127011594,Green Valley,6499,41,49603,53887
127011595,Hinchinbrook,6729,40,52172,58095
127011596,Hoxton Park - Carnes Hill - Horningsea Park,6758,40,56941,62037
127011597,West Hoxton - Middleton Grange,8957,39,57155,65571
127021509,Bonnyrigg Heights - Bonnyrigg,8023,39,49045,53819
127021510,Bossley Park - Abbotsbury,9722,43,51071,60167
127021511,Cabramatta - Lansvale,11366,40,40552,45510
127021512,Cabramatta West - Mount Pritchard,8370,39,45755,50418
127021513,Canley Vale - Canley Heights,10423,39,43286,48397
127021514,Edensor Park,5222,42,50189,57194
127021515,Fairfield,6629,39,42760,48247
127021516,Fairfield - West,8460,39,43215,49176
127021517,Greenfield Park - Prairiewood,3880,41,48133,54166
127021518,Horsley Park - Kemps Creek,2685,46,54728,77283
127021519,Smithfield - Wetherill Park,8589,41,47906,54202
127021520,St Johns Park - Wakeley,5445,42,47632,53980
127021521,Wetherill Park Industrial,96,43,68926,85065
127031522,Casula,8377,40,52718,59235
127031523,Chipping Norton - Moorebank,11432,42,56503,65250
127031524,Holsworthy - Wattle Grove,12392,41,63882,71145
127031598,Liverpool,13565,36,47873,52956
127031599,Lurnea - Cartwright,4517,38,45915,49480
127031600,Prestons - Edmondson Park,13867,39,57731,64250
127031601,Warwick Farm,2833,35,48262,52536
128011529,Gymea - Grays Point,11463,45,62373,79971
128011530,Miranda - Yowie Bay,12509,43,56856,72227
128011531,Sylvania - Taren Point,10072,48,53600,79800
128011602,Caringbah,7555,41,62145,72284
128011603,Caringbah South,8347,46,63131,89725
128011604,Cronulla - Kurnell - Bundeena,16235,45,62483,84972
128011605,Lilli Pilli - Port Hacking - Dolans Bay,2216,48,64892,112376
128011606,Woolaware - Burraneer,5842,46,67009,98734
128021533,Heathcote - Waterfall,4025,45,59701,69182
128021534,Illawong - Alfords Point,7024,47,61584,79865
128021535,Menai - Lucas Heights - Woronora,13765,45,62045,76570
128021536,Oyster Bay - Como - Jannali,13480,45,64428,83285
128021537,Royal National Park,13,36,38956,61645
128021538,Sutherland - Kirrawee,13698,41,62453,71105
128021607,Engadine,10335,43,60914,70158
128021608,Loftus - Yarrawarrah,4498,45,60469,73218
128021609,Woronora Heights,2489,47,63811,79203