sa2_code,sa2_name,0-4_people,5-9_people,10-14_people,15-19_people,20-24_people,25-29_people,30-34_people,35-39_people,40-44_people,45-49_people,50-54_people,55-59_people,60-64_people,65-69_people,70-74_people,75-79_people,80-84_people,85-and-over_people,total_people
121011682,Artarmon,534,765,599,392,491,677,821,1058,883,680,540,443,417,383,297,201,132,156,9469
121011683,Castle Cove - Northbridge,528,959,1228,1077,693,345,348,564,920,1097,1140,1024,844,692,700,487,347,475,13468
121011684,Chatswood - East,1017,1205,1135,974,1255,1619,1749,1954,1702,1414,1047,886,846,757,757,525,389,539,19770
121011685,Greenwich - Riverview,585,792,953,892,772,750,737,805,830,983,984,880,768,653,589,443,290,274,12980
121011686,Lane Cove,1090,1156,909,774,708,984,1416,1607,1386,1109,909,827,694,612,608,472,302,368,15931
121011687,Willoughby,779,1050,1015,847,595,491,593,965,1101,1108,962,813,645,545,502,367,275,371,13024
121021403,Asquith - Mount Colah,1363,1586,1655,1437,1221,1072,1381,1733,1810,1779,1489,1410,1273,985,808,538,339,255,22134
121021404,Berowra - Brooklyn - Cowan,645,868,941,864,629,354,461,720,853,1046,904,862,728,608,546,424,202,138,11793
121021406,Normanhurst - Thornleigh - Westleigh,1003,1392,1528,1340,1092,679,818,1303,1409,1573,1440,1237,1036,882,802,661,494,510,19199
121021577,Hornsby - East,778,614,516,429,828,1131,1312,1197,1061,790,681,595,592,473,397,244,190,170,11998
121021578,Hornsby - West,585,795,755,643,539,455,545,815,925,800,760,644,592,542,489,323,200,246,10653
121021579,Wahroonga (West) - Waitara,798,940,652,461,466,645,973,1513,1091,737,593,468,478,475,414,349,321,515,11889
121031407,Gordon - Killara,913,1355,1776,1721,1462,1094,1154,1422,1583,1742,1686,1484,1274,1101,954,734,522,615,22592
121031408,Lindfield - Roseville,1211,1840,2043,1771,1404,1071,1126,1604,1837,1868,1840,1581,1333,1149,1113,802,544,617,24754
121031409,Pymble,831,1300,1452,1322,1024,636,680,1087,1273,1299,1379,1242,1004,785,766,513,312,357,17262
121031410,St Ives,1051,1717,1853,1404,1047,547,744,1359,1649,1686,1546,1432,1191,1129,997,946,719,756,21773
121031411,Turramurra,953,1346,1509,1424,1046,630,709,1154,1354,1500,1501,1371,1065,952,988,930,779,1110,20321
121031412,Wahroonga (East) - Warrawee,794,1221,1454,1518,1069,565,621,1041,1244,1398,1461,1220,1084,829,866,723,498,638,18244
121041413,Cremorne - Cammeray,1073,1032,952,741,781,1303,1702,1640,1459,1384,1306,1160,1026,1012,985,695,412,326,18989
121041414,Crows Nest - Waverton,989,771,617,504,955,1883,2193,1960,1539,1225,1092,846,886,760,750,528,299,239,18036
121041416,Neutral Bay - Kirribilli,738,630,538,497,943,1836,2043,1541,1292,1060,989,966,953,847,813,677,479,499,17341
121041417,North Sydney - Lavender Bay,516,383,328,396,677,1373,1731,1375,916,768,742,775,665,556,569,432,255,121,12578
121041688,Mosman - North,576,715,844,735,620,682,834,928,869,979,975,965,855,769,795,688,481,510,13820
121041689,Mosman - South,686,842,1036,891,738,667,843,907,964,1142,1146,994,902,754,750,635,356,388,14641
122011418,Balgowlah - Clontarf - Seaforth,1168,1563,1841,1516,1039,734,810,1159,1510,1870,1720,1566,1111,873,838,675,431,429,20853
122011419,Manly - Fairlight,1271,1033,987,904,1047,2031,2618,2139,1683,1498,1411,1383,1254,934,893,731,447,464,22728
122021420,Avalon - Palm Beach,568,839,885,849,638,405,426,593,741,927,912,1032,1074,947,882,644,348,368,13078
122021421,Bayview - Elanora Heights,484,695,764,765,537,367,341,510,620,806,856,864,781,702,690,608,458,409,11257
122021422,Newport - Bilgola,649,747,974,881,727,575,623,672,757,1004,1083,1150,1083,893,768,588,305,220,13699
122021690,Mona Vale - Warriewood (North),728,854,1066,849,775,567,637,771,942,1110,945,945,858,847,816,707,549,661,14627
122021691,North Narrabeen - Warriewood (South),702,822,849,763,527,476,595,679,839,891,817,716,627,500,455,287,200,151,10896
122031424,Beacon Hill - Narraweena,858,957,1092,962,891,624,662,894,973,1145,1075,1012,844,652,575,511,398,424,14549
122031425,Cromer,492,562,608,581,403,291,345,470,569,662,581,473,398,330,413,351,274,249,8052
122031427,Forestville - Killarney Heights,644,927,1260,1028,715,353,388,677,944,1157,1042,899,655,522,503,519,447,479,13159
122031429,Freshwater - Brookvale,1347,1253,1385,1198,1096,1670,2197,1852,1676,1709,1596,1284,1083,871,658,463,325,346,22009
122031430,Manly Vale - Allambie Heights,1017,1338,1522,1072,829,805,962,1137,1477,1509,1374,1007,828,688,656,493,367,535,17616
122031432,Terrey Hills - Duffys Forest,154,246,280,261,217,132,116,170,213,297,313,277,255,212,227,197,95,136,3798
122031692,Belrose,390,553,692,619,457,244,227,399,572,691,661,538,380,375,493,524,400,453,8668
122031693,Collaroy - Collaroy Plateau,775,842,900,966,833,755,853,900,926,1066,1074,937,834,662,573,438,294,354,13982
122031694,Dee Why (South) - North Curl Curl,535,554,656,601,600,609,662,649,616,724,726,641,492,340,279,199,133,132,9148
122031695,Dee Why - North,1137,813,672,628,1141,1819,2159,1902,1442,1205,1074,985,853,666,504,377,285,252,17914
122031696,Frenchs Forest - Oxford Falls,958,1329,1502,1331,940,594,626,1002,1254,1564,1375,1113,818,732,734,662,393,271,17198
122031697,Narrabeen - Wheeler Heights,596,547,567,534,543,590,705,736,709,745,725,687,589,557,579,517,504,820,11250
123011433,Camden - Ellis Lane,743,892,991,815,681,631,694,816,841,882,850,700,769,704,739,535,431,621,13335
123011698,Currans Hill,657,547,517,425,402,579,614,523,434,466,339,312,245,168,124,83,37,20,6492
123011699,Elderslie - Narellan,1161,1164,1073,982,824,901,1063,1096,950,941,810,745,656,565,480,333,197,139,14080
123011700,Harrington Park,717,923,1076,1000,806,464,547,786,873,1136,828,600,516,362,300,158,129,58,11279
123011701,Mount Annan,1332,1533,1602,1535,1325,1124,1200,1361,1394,1509,1372,1204,880,663,545,316,151,100,19146
123011702,Spring Farm,1251,882,658,451,536,1018,1239,1010,614,504,369,295,268,203,165,72,39,18,9592
123021436,Bradbury - Wedderburn,1636,1624,1580,1393,1327,1496,1490,1503,1311,1264,1079,1092,930,826,739,491,269,149,20199
123021437,Campbelltown - Woodbine,1608,1421,1338,1293,1778,1858,1935,1811,1505,1305,1112,1123,1009,876,875,599,438,378,22262
123021438,Claymore - Eagle Vale - Raby,1489,1621,1526,1341,1337,1423,1420,1609,1364,1214,1135,1290,1328,979,655,331,190,137,20389
123021439,Holsworthy Military Area,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
123021441,Leumeah - Minto Heights,1159,1139,1097,1023,1021,1127,1186,1297,1126,1018,903,923,957,951,891,531,275,181,16805
123021443,Minto - St Andrews,1533,1811,1664,1347,1377,1333,1633,1808,1511,1382,1216,1308,1120,1013,720,391,213,140,21520
123021444,Rosemeadow - Glen Alpine,1325,1500,1568,1449,1387,1379,1373,1384,1235,1242,1232,1368,1428,1225,1016,613,332,242,21298
123021703,Denham Court - Bardia,1692,1441,954,700,845,1178,1808,1908,1188,785,527,504,446,325,281,180,122,74,14958
123021704,Glenfield,809,798,616,586,644,715,858,961,804,667,587,584,484,416,306,235,193,328,10591
123021705,Ingleburn,1190,1176,1086,969,1072,1130,1180,1355,1186,1006,1032,1094,1083,817,621,367,236,177,16777
123021706,Macquarie Fields,1005,1116,1139,990,865,871,972,1081,1016,930,794,854,743,627,535,382,213,127,14260
123031445,Bargo,333,415,473,434,348,283,339,357,364,427,414,365,361,312,310,202,143,88,5968
123031446,Douglas Park - Appin,912,941,858,711,558,516,774,879,723,730,668,662,576,488,458,289,208,191,11142
123031447,Picton - Tahmoor - Buxton,1399,1347,1313,1216,1236,1360,1284,1160,1067,1296,1234,1111,1072,957,783,560,330,344,19069
123031448,The Oaks - Oakdale,631,661,797,777,560,521,603,652,584,722,640,591,583,556,454,265,162,75,9834
124011449,Blackheath - Megalong Valley,201,294,324,250,144,208,283,312,322,387,410,518,497,488,473,343,189,118,5761
124011450,Blaxland - Warrimoo - Lapstone,1173,1325,1371,1303,936,810,1020,1198,1328,1372,1246,1196,1227,1181,1008,708,367,272,19041
124011451,Blue Mountains - North,0,0,0,0,2,0,0,0,0,0,0,1,3,2,1,0,0,0,9
124011452,Katoomba - Leura,487,634,648,649,544,561,695,741,785,939,990,957,1139,1175,1031,670,370,358,13373
124011453,Lawson - Hazelbrook - Linden,602,724,762,752,551,517,657,733,734,827,850,880,858,728,626,360,202,117,11480
124011454,Springwood - Winmalee,1199,1437,1615,1398,1064,890,1172,1404,1363,1561,1526,1404,1507,1344,1219,799,549,636,22087
124011455,Wentworth Falls,318,354,413,316,223,208,283,337,362,418,400,439,509,532,536,366,193,229,6436
124021456,Blue Mountains - South,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4,0,0,0,7
124031457,Cambridge Park,1175,1177,1108,967,1030,1216,1245,1230,1051,975,844,831,947,853,736,391,184,155,16115
124031459,Emu Plains - Leonay,780,891,1046,883,835,750,785,916,977,1019,845,814,776,752,774,514,325,268,13950
124031460,Glenmore Park - Regentville,1424,1562,1756,1684,1507,1245,1375,1509,1529,1652,1494,1266,1121,805,600,324,178,131,21162
124031461,Jamisontown - South Penrith,1092,1167,1207,1077,1109,1253,1217,1318,1224,1073,917,901,930,907,891,548,337,237,17405
124031462,Kingswood - Werrington,2065,1980,1613,1445,1789,2003,2260,2283,1760,1575,1393,1078,993,815,713,483,343,291,24882
124031463,Mulgoa - Luddenham - Orchard Hills,957,936,968,854,768,720,810,978,840,832,741,698,597,448,420,267,154,100,12088
124031464,Penrith,1060,853,820,767,1755,2018,1605,1314,1137,1024,1009,932,828,707,737,570,443,560,18139
124031465,Warragamba - Silverdale,490,433,449,431,414,418,442,381,391,421,419,365,367,230,188,104,72,38,6053
124031707,Cranebrook - Castlereagh,1333,1365,1281,1174,1142,1290,1303,1251,1080,1083,1077,1060,943,677,515,274,180,112,17140
124031708,Jordan Springs - Llandilo,1579,1325,935,769,762,1104,1565,1532,1024,807,515,403,342,260,253,157,101,48,13481
124041466,Richmond - Clarendon,916,857,838,855,942,1243,1149,920,816,915,914,796,799,742,809,661,542,589,15303
124041467,Windsor - Bligh Park,1131,1038,1010,982,1077,1294,1232,970,897,880,1001,1108,850,658,499,330,262,171,15390
124041468,Yarramundi - Londonderry,345,413,464,508,599,585,563,557,535,552,529,509,423,351,297,166,110,58,7564
124051469,Erskine Park,383,429,432,489,480,490,444,400,425,389,481,564,446,308,197,98,45,22,6522
124051470,St Clair,1369,1417,1439,1306,1233,1401,1516,1452,1326,1219,1183,1239,1475,1081,731,359,177,137,20060
124051580,Colyton - Oxley Park,1074,1013,955,816,894,1023,1000,999,833,775,768,683,632,516,490,347,161,110,13089
124051581,St Marys - North St Marys,1388,1255,1118,944,1230,1477,1437,1336,1108,1074,1015,969,832,688,586,402,287,318,17464
125011475,Rookwood Cemetery,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5
125011582,Auburn - Central,1234,1154,990,945,2396,2579,2065,1542,1148,955,1027,936,800,645,471,338,227,211,19663
125011583,Auburn - North,650,521,398,357,1632,1689,1287,838,632,490,465,460,361,284,210,188,113,133,10708
125011584,Auburn - South,659,664,599,588,665,731,766,597,518,507,510,563,487,339,270,161,109,170,8903
125011585,Berala,449,479,419,462,692,769,815,604,495,530,589,600,517,410,318,187,152,160,8647
125011586,Lidcombe,1072,977,881,879,2052,2537,2335,1829,1283,1139,1281,1304,1243,951,587,418,289,277,21334
125011587,Regents Park,297,297,350,294,426,428,463,359,291,293,301,318,341,266,192,101,83,62,5162
125011709,Silverwater - Newington,500,673,580,466,543,666,848,1016,965,776,647,471,374,312,249,143,68,39,9336
125011710,Wentworth Point - Sydney Olympic Park,1645,758,429,351,1399,3622,4507,2988,1386,894,637,621,554,451,205,130,52,24,20653
125021477,Ermington - Rydalmere,1665,1620,1449,1380,1536,1746,2165,2096,1778,1677,1553,1538,1378,1052,840,535,409,392,24809
125021478,Oatlands - Dundas Valley,1043,1286,1245,1063,1094,1010,1192,1436,1286,1317,1253,1317,1149,911,682,484,375,414,18557
125021711,Carlingford - East,528,793,926,791,688,503,548,844,875,824,762,759,693,576,460,359,332,395,11656
125021712,Carlingford - West,1172,1754,1194,956,1116,1062,1353,1894,1484,1149,1120,1078,1064,900,759,606,386,250,19297
125031479,Chester Hill - Sefton,1425,1513,1633,1559,1552,1509,1467,1385,1269,1241,1247,1243,1113,874,654,423,325,493,20925
125031480,Fairfield - East,1000,997,1097,1079,1148,1102,1115,981,937,973,997,948,864,775,617,387,308,469,15794
125031481,Granville - Clyde,1575,1420,1257,1204,2610,2829,2387,1887,1383,1213,1165,1150,1003,824,635,409,263,219,23433
125031483,Guildford - South Granville,1934,1810,1723,1631,1744,1852,1780,1667,1296,1228,1116,1115,1095,865,614,460,325,301,22556
125031484,Guildford West - Merrylands West,1815,1673,1648,1534,1645,2069,1878,1725,1471,1342,1292,1190,1044,842,683,489,376,408,23124
125031486,Smithfield Industrial,0,0,1,1,3,0,3,3,0,0,1,0,1,0,0,0,0,0,13
125031487,Yennora Industrial,0,0,2,0,0,4,0,0,1,2,2,0,0,0,2,0,0,0,13
125031713,Greystanes - South,1121,1189,1243,1042,897,884,985,1142,1158,1120,1053,906,825,791,920,666,423,283,16648
125031714,Merrylands - Holroyd,1967,1578,1378,1274,1800,2317,2427,2027,1590,1350,1253,1304,1073,838,694,526,323,288,24007
125031715,Pemulwuy - Greystanes (North),708,865,861,691,629,570,644,833,969,777,653,609,449,441,420,343,225,220,10907
125031716,South Wentworthville,526,544,492,456,525,540,556,625,559,460,407,398,352,243,235,163,121,132,7334
125041489,North Parramatta,1530,1353,1057,921,1479,2206,2761,2717,1944,1334,1128,1105,1039,814,608,424,285,365,23070
125041490,North Rocks,447,619,639,509,442,363,430,616,627,643,539,517,492,423,453,364,191,152,8466
125041491,Northmead,1631,1369,1023,765,1270,2036,2393,2463,1594,1155,919,784,730,624,586,440,313,328,20423
125041493,Toongabbie - Constitution Hill,1364,1471,1457,1298,1427,1696,1554,1834,1534,1528,1383,1329,1213,1039,898,736,626,617,23004
125041494,Winston Hills,727,879,824,722,521,450,537,851,900,843,712,631,527,501,538,528,261,247,11199
125041588,Pendle Hill - Girraween,901,1259,992,649,745,898,1106,1644,1286,848,697,659,534,473,445,302,277,274,13989
125041589,Wentworthville - Westmead,1693,1666,1245,862,1371,2268,2666,2837,1740,1092,867,863,735,561,471,302,260,255,21754
125041717,Parramatta - North,890,658,346,218,1162,2144,2352,1841,852,404,292,267,238,212,154,79,64,30,12203
125041718,Parramatta - South,686,576,346,294,995,1492,1446,1236,704,471,393,346,301,247,163,123,76,65,9960
125041719,Rosehill - Harris Park,630,557,323,218,847,1462,1363,1152,606,392,327,313,285,232,158,86,72,97,9120
126011496,Pennant Hills - Cheltenham,1014,1550,1635,1453,1255,845,910,1324,1615,1597,1581,1530,1333,1183,1045,810,570,563,21813
126011720,Epping (East) - North Epping,740,1004,991,785,929,1096,1245,1294,1098,932,817,813,734,597,462,300,301,317,14455
126011721,Epping (NSW) - West,964,1291,1362,998,1194,1309,1575,1658,1437,1291,996,1067,999,953,669,415,280,299,18757
126021498,Gladesville - Huntleys Point,845,902,896,802,828,1085,1204,1176,1143,1126,1056,958,845,687,665,486,357,425,15486
126021499,Hunters Hill - Woolwich,432,575,760,785,519,295,343,479,573,724,743,663,578,533,536,416,304,609,9867
126021500,Macquarie Park - Marsfield,1305,1128,872,1065,2427,2765,2992,2409,1585,1216,1034,1003,905,845,743,536,469,738,24037
126021501,North Ryde - East Ryde,912,981,863,787,972,1110,1427,1346,1134,1023,960,967,882,676,532,359,346,389,15666
126021503,West Ryde - Meadowbank,1241,1090,862,782,1262,1967,2341,2166,1558,1220,1049,1068,1002,842,669,453,325,308,20205
126021590,Putney,169,243,294,297,291,214,176,243,241,265,332,350,309,256,209,113,77,82,4161
126021722,Denistone,343,496,486,428,397,308,338,456,510,468,473,515,487,422,368,169,162,163,6989
126021723,Eastwood,952,1132,924,867,1275,1516,1533,1653,1314,1137,1089,1314,1105,1091,800,549,396,409,19056
126021724,Ryde - North,1134,1227,1142,1027,1273,1343,1637,1737,1546,1345,1342,1245,1160,885,822,572,450,498,20385
126021725,Ryde - South,927,704,412,335,636,1471,1971,1520,894,576,452,463,411,342,277,188,194,272,12045
127011504,Ashcroft - Busby - Miller,1343,1532,1536,1439,1312,1175,1126,1180,1035,1007,1031,1188,1014,723,513,378,324,232,18088
127011505,Austral - Greendale,1022,883,840,782,829,1009,1112,1052,758,732,706,620,542,511,451,283,191,231,12554
127011592,Badgerys Creek,0,0,1,0,3,0,4,0,1,4,1,1,2,0,2,1,2,1,23
127011593,Cecil Hills,288,438,529,635,604,438,349,364,369,533,553,541,452,350,226,122,80,57,6928
127011594,Green Valley,784,834,930,975,1056,904,751,775,789,841,884,929,879,658,419,286,156,103,12953
127011595,Hinchinbrook,851,995,1053,1015,998,885,794,917,884,833,897,924,701,518,380,198,132,88,13063
127011596,Hoxton Park - Carnes Hill - Horningsea Park,908,1108,1220,1094,925,840,863,1056,1013,967,854,780,593,424,299,181,109,65,13299
127011597,West Hoxton - Middleton Grange,1333,1529,1553,1400,1215,1005,1182,1465,1369,1295,1083,873,688,475,356,206,119,98,17244
127011726,Cobbitty - Bringelly,395,310,344,276,280,385,378,335,295,302,246,250,243,229,212,158,94,42,4774
127011727,Gledswood Hills - Gregory Hills,1896,1307,936,680,732,1434,1901,1633,1075,740,547,495,405,299,166,92,31,32,14401
127011728,Leppington - Catherine Field,1296,981,818,644,730,1065,1362,1158,848,665,579,566,454,418,431,303,174,101,12593
127011729,Oran Park,2252,1827,1276,940,1029,1518,2186,2034,1329,912,635,501,432,361,255,136,77,59,17759
127021509,Bonnyrigg Heights - Bonnyrigg,893,1037,1277,1286,1232,1295,1021,1071,964,1107,1090,1211,1173,964,693,389,232,260,17195
127021510,Bossley Park - Abbotsbury,957,1187,1298,1399,1364,1199,1131,1070,1125,1245,1275,1404,1457,1218,965,580,439,428,19741
127021511,Cabramatta - Lansvale,1092,1288,1374,1577,1890,1768,1533,1460,1415,1638,1814,1737,1672,1333,942,579,474,619,24205
127021512,Cabramatta West - Mount Pritchard,1046,1234,1294,1376,1332,1279,1152,1107,1132,1216,1229,1197,1147,775,662,417,370,330,18295
127021513,Canley Vale - Canley Heights,1116,1367,1441,1601,1740,1650,1424,1457,1308,1507,1515,1565,1506,1045,761,524,383,455,22365
127021514,Edensor Park,559,618,628,708,772,696,684,592,561,617,672,763,749,603,484,253,172,160,10291
127021515,Fairfield,940,1071,1093,1151,1184,1241,1205,1212,1149,1201,1275,1296,1241,1009,752,536,375,354,18285
127021516,Fairfield - West,1236,1466,1614,1572,1519,1415,1287,1336,1331,1327,1393,1404,1196,973,812,641,450,333,21305
127021517,Greenfield Park - Prairiewood,452,535,584,642,624,587,498,519,529,508,579,595,594,514,452,310,206,142,8870
127021518,Horsley Park - Kemps Creek,183,240,271,323,331,261,193,195,223,312,320,318,273,238,239,174,135,119,4348
127021519,Smithfield - Wetherill Park,1176,1254,1371,1268,1247,1322,1284,1177,1127,1205,1175,1174,1228,1066,905,627,478,464,19548
127021520,St Johns Park - Wakeley,522,667,684,712,732,718,659,710,588,674,669,699,787,757,654,395,290,285,11202
127021521,Wetherill Park Industrial,2,0,0,0,0,2,2,2,3,1,5,9,8,3,0,2,0,0,39
127031522,Casula,1172,1180,1182,1161,1182,1110,1138,1137,994,1063,1087,1045,950,686,589,356,307,280,16619
127031523,Chipping Norton - Moorebank,1537,1648,1528,1291,1146,1173,1412,1657,1566,1426,1206,1183,1022,900,904,654,323,317,20893
127031524,Holsworthy - Wattle Grove,1471,1654,1487,1435,1525,1385,1522,1666,1510,1536,1446,1238,984,721,543,460,303,410,21296
127031599,Lurnea - Cartwright,1013,1085,1044,899,864,907,876,851,774,708,704,764,640,489,407,330,230,152,12737
127031601,Warwick Farm,440,368,281,275,409,545,585,545,470,352,318,321,342,232,183,125,103,68,5962
127031730,Edmondson Park,1241,1127,906,750,848,1017,1247,1365,1063,763,566,412,307,219,153,73,38,30,12125
127031731,Liverpool - East,1463,1064,823,736,1437,2128,2183,1664,1316,1007,824,751,690,573,426,286,170,116,17657
127031732,Liverpool - West,937,973,900,845,950,1051,991,972,808,780,824,826,759,638,517,397,291,304,13763
127031733,Prestons,947,1207,1434,1405,1222,885,890,1061,1115,1253,1069,955,787,502,341,233,194,232,15732
128011529,Gymea - Grays Point,1097,1228,1268,1225,1030,858,967,1164,1231,1413,1318,1238,1066,848,748,643,422,419,18183
128011530,Miranda - Yowie Bay,1227,1211,1229,1133,1133,1387,1412,1525,1406,1436,1263,1174,1067,964,857,795,652,898,20769
128011531,Sylvania - Taren Point,785,967,999,974,842,723,733,936,960,1136,1137,1051,924,805,907,914,716,951,16460
128011602,Caringbah,903,756,717,597,745,1023,1125,1017,920,899,797,690,651,555,520,381,259,327,12882
128011603,Caringbah South,852,949,899,835,715,516,640,789,827,955,839,833,849,734,643,424,326,403,13028
128011604,Cronulla - Kurnell - Bundeena,1207,1176,1166,1180,1373,1909,1866,1603,1427,1624,1590,1733,1829,1518,1318,852,514,648,24533
128011605,Lilli Pilli - Port Hacking - Dolans Bay,198,233,261,280,231,131,116,152,189,264,256,260,215,187,169,112,56,61,3371
128011606,Woolooware - Burraneer,487,508,577,618,603,558,519,589,515,592,671,617,569,516,404,271,172,182,8968
128021533,Heathcote - Waterfall,389,415,470,407,372,291,360,403,454,464,453,399,337,357,283,253,234,339,6680
128021534,Illawong - Alfords Point,542,632,682,739,659,549,536,547,616,683,647,798,979,766,557,288,188,161,10569
128021535,Menai - Lucas Heights - Woronora,1199,1386,1489,1468,1431,1011,1100,1252,1316,1452,1523,1511,1532,1236,925,550,294,334,21009
128021536,Oyster Bay - Como - Jannali,1331,1679,1746,1456,1118,922,1059,1541,1662,1861,1522,1319,1189,1084,1046,767,410,439,22151
128021537,Royal National Park,2,4,10,4,9,7,1,2,1,4,0,0,0,1,0,0,0,0,45
128021538,Sutherland - Kirrawee,1519,1292,1150,1117,1335,1852,2120,1945,1649,1569,1391,1285,1157,909,909,781,582,807,23369
128021607,Engadine,1157,1283,1469,1209,891,675,928,1229,1407,1315,1086,909,764,707,886,748,389,327,17379
128021608,Loftus - Yarrawarrah,503,487,575,508,380,293,426,493,494,564,477,450,387,418,335,263,192,109,7354
128021609,Woronora Heights,166,217,272,310,240,153,123,161,199,303,316,295,310,217,143,80,30,16,3551